"","Group","Citation","Count","Tool_Type","Material_Type","Usage","Temperature","Therm_vs.Other"
"1","Omaha","Dorsey,_James_Owen._1896._Omaha_Dwelling,_Furniture,_and_Implements.Thirteenth_Annual_Report_of_the_Bureau_of_Ethnology,_1891_92,_263_88._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nq21_004.",1,"awl","antler","Shelter",-11.5,"Thermoregulation"
"2","Mescalero Apache","Basehart,_Harry_W.,_and_United_States._Indian_Claims_Commission._1974._Mescalero_Apache_Subsistence_Patterns_and_Socio_Political_Organization._InAmerican_Indian_Ethnohistory:_Indians_of_the_Southwest,_9_178._New_York_&_London:_Garland_Publishing_Inc._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nt25_003.",1,"awl","antler","Saddles",-6.199999809,"Alternative"
"3","Mescalero Apache","Basehart,_Harry_W.,_and_United_States._Indian_Claims_Commission._1974._Mescalero_Apache_Subsistence_Patterns_and_Socio_Political_Organization._InAmerican_Indian_Ethnohistory:_Indians_of_the_Southwest,_9_178._New_York_&_London:_Garland_Publishing_Inc._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nt25_003.",1,"awl","antler","Clothing",-6.199999809,"Thermoregulation"
"4","Mescalero Apache","Basehart,_Harry_W.,_and_United_States._Indian_Claims_Commission._1974._Mescalero_Apache_Subsistence_Patterns_and_Socio_Political_Organization._InAmerican_Indian_Ethnohistory:_Indians_of_the_Southwest,_9_178._New_York_&_London:_Garland_Publishing_Inc._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nt25_003.",1,"awl","antler","Bags",-6.199999809,"Alternative"
"5","Mescalero Apache","Basehart,_Harry_W.,_and_United_States._Indian_Claims_Commission._1974._Mescalero_Apache_Subsistence_Patterns_and_Socio_Political_Organization._InAmerican_Indian_Ethnohistory:_Indians_of_the_Southwest,_9_178._New_York_&_London:_Garland_Publishing_Inc._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=nt25_003.",1,"awl","antler","Trading",-6.199999809,"Alternative"
"7","Aleut","Shade,_Charles_I._1949._Ethnological_Notes_on_the_Aleuts._In_._S.L._:_s.n._._https://ehrafworldcultures.yale.edu/cultures/na06/documents/017.",1,"awl","bone","Foodways",-5.900000095,"Alternative"
"9","Aleut","Dall,_William_Healey._1880._Article_VI:_On_the_Remains_of_Later_Pre_Historic_Man_Obtained_from_Caves_in_the_Catherina_Archipelago,_Alaska_Territory,_and_Especially_from_the_Caves_of_the_Aleutian_Islands._InSmithsonian_Contributions_to_Knowledge,_21_22:35,_plates._Washington:_Smithsonian_Institution._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/039.",1,"awl","bone","Clothing",-5.900000095,"Thermoregulation"
"10","Aleut","Quimby,_George_Irving._1944._Aleutian_Islanders:_Eskimos_of_the_North_Pacific._In_._Chicago_:_Chicago_Natural_History_Museum._https://ehrafworldcultures.yale.edu/cultures/na06/documents/060.",1,"awl","bone","Clothing",-5.900000095,"Thermoregulation"
"11","Aleut","Quimby,_George_Irving._1944._Aleutian_Islanders:_Eskimos_of_the_North_Pacific._In_._Chicago_:_Chicago_Natural_History_Museum._https://ehrafworldcultures.yale.edu/cultures/na06/documents/060.",1,"awl","bone","Bags",-5.900000095,"Alternative"
"12","Aleut","Quimby,_George_Irving._1944._Aleutian_Islanders:_Eskimos_of_the_North_Pacific._In_._Chicago_:_Chicago_Natural_History_Museum._https://ehrafworldcultures.yale.edu/cultures/na06/documents/060.",1,"awl","bone","Boat Covering",-5.900000095,"Alternative"
"13","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures.yale.edu/document?id=na06_071.",1,"awl","bone","Foodways",-5.900000095,"Alternative"
"14","Aleut","Collins,_Henry_Bascom._1945._The_Islands_and_Their_People._InThe_Aleutian_Islands:_Their_People_and_Natural_History:_(With_Keys_for_the_Identification_of_the_Birds_and_Plants)_by_Henry_B._Collins,_Jr.,_Austin_H._Clark,_Egbert_H._Walker,_1_30._City_Of_Washington:_Smithsonian_Institution._https://ehrafworldcultures.yale.edu/cultures/na06/documents/025.",1,"awl","bone","Clothing",-5.900000095,"Thermoregulation"
"19","Chipewyans","Birket_Smith,_Kaj._1930._Contributions_to_Chipewyan_Ethnology._InReport,_6:115._Copenhagen:_Gyldendalske_Boghandel,_Nordisk_Forlag._https://ehrafworldcultures.yale.edu/document?id=nd07_017.",1,"awl","bone","Clothing",-27.39999962,"Thermoregulation"
"21","Eyak","Birket_Smith,_Kaj,_and_Frederica_De_Laguna._1938._The_Eyak_Indians_of_the_Copper_River_Delta,_Alaska._Kobenhavn:_Levin_&_Munksgaard,_E._Munksgaard._https://ehrafworldcultures.yale.edu/document?id=na07_001.",1,"awl","bone","Clothing",-9,"Thermoregulation"
"22","Ingalik","Snow,_Jeanne_H._1981._Ingalik._InHandbook_of_North_American_Indians._Subarctic,_Vol._6:602_17._Washington,_D._C.:_Smithsonian_Institution?:_For_sale_by_the_Supt._of_Docs.,_U.S._G._P._O._https://ehrafworldcultures.yale.edu/document?id=na08_004.",1,"awl","bone","Clothing",-21.89999962,"Thermoregulation"
"23","Ingalik","Snow,_Jeanne_H._1981._Ingalik._InHandbook_of_North_American_Indians._Subarctic,_Vol._6:602_17._Washington,_D._C.:_Smithsonian_Institution?:_For_sale_by_the_Supt._of_Docs.,_U.S._G._P._O._https://ehrafworldcultures.yale.edu/document?id=na08_004.",1,"awl","bone","Shelter",-21.89999962,"Thermoregulation"
"24","Ingalik","Snow,_Jeanne_H._1981._Ingalik._InHandbook_of_North_American_Indians._Subarctic,_Vol._6:602_17._Washington,_D._C.:_Smithsonian_Institution?:_For_sale_by_the_Supt._of_Docs.,_U.S._G._P._O._https://ehrafworldcultures.yale.edu/document?id=na08_004.",1,"awl","bone","Boat Covering",-21.89999962,"Alternative"
"27","Kaska","Honigmann,_John_Joseph._1954._The_Kaska_Indians:_An_Ethnographic_Reconstruction._InYale_University_Publications_in_Anthropology,_162._New_Haven,_Conn.:_Yale_University_Press._https://ehrafworldcultures.yale.edu/document?id=nd12_006.",1,"awl","bone","Piercing",-24.89999962,"Alternative"
"28","Ojibwa","Hilger,_M._Inez_(Mary_Inez)._1939.A_Social_Study_of_One_Hundred_Fifty_Chippewa_Indian_Families_of_the_White_Earth_Reservation_of_Minnesota._Washington,_D.C.:_The_Catholic_University_of_America_Press._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=ng06_012.",1,"awl","bone","Shoes",-21.39999962,"Thermoregulation"
