"","Group","Citation","Count","Tool_Type","Material_Type","Usage","Temperature","LAT","LONG"
"1","Aleut","Collins,_Henry_Bascom._1945._The_Islands_and_Their_People._InThe_Aleutian_Islands:_Their_People_and_Natural_History:_(With_Keys_for_the_Identification_of_the_Birds_and_Plants)_by_Henry_B._Collins,_Jr.,_Austin_H._Clark,_Egbert_H._Walker,_1_30._City_Of_Washington:_Smithsonian_Institution._https://ehrafworldcultures.yale.edu/cultures/na06/documents/025.",1,"awl","bone","Clothing",-5.900000095,-161.633283,55.59836219
"2","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures.yale.edu/document?id=na06_071.",1,"awl","bone","Foodways",-5.900000095,-161.633283,55.59836219
"3","Aleut","Alexander,_Fred._1949._A_Medical_Survey_of_the_Aleutian_Islands_(1948)._InThe_New_England_Journal_of_Medicine,_Vol._240:1035_40._Boston:_Massachusetts_Medical_Society._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/028.",1,"needle","bone","Medical",-5.900000095,-161.633283,55.59836219
"4","Aleut","Quimby,_George_Irving._1944._Aleutian_Islanders:_Eskimos_of_the_North_Pacific._In_._Chicago_:_Chicago_Natural_History_Museum._https://ehrafworldcultures.yale.edu/cultures/na06/documents/060.",1,"awl","bone","Boat Covering",-5.900000095,-161.633283,55.59836219
"5","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures.yale.edu/document?id=na06_071.",1,"needle","unknown","Medical",-5.900000095,-161.633283,55.59836219
"6","Aleut","Shade,_Charles_I._1949._Ethnological_Notes_on_the_Aleuts._In_._S.L._:_s.n._._https://ehrafworldcultures.yale.edu/cultures/na06/documents/017.",1,"awl","bone","Foodways",-5.900000095,-161.633283,55.59836219
"7","Aleut","Jochelson,_Waldemar._1933._History,_Ethnology,_and_Anthropology_of_the_Aleut._InPublication,_v,_91._Washington:_Carnegie_institution_of_Washington._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/002.",1,"needle","bone","Medical",-5.900000095,-161.633283,55.59836219
"8","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na06_071.",1,"needle","metal","Toolkit",-5.900000095,-161.633283,55.59836219
"9","Aleut","Coxe,_William._1804._Account_of_the_Russian_Discoveries_between_Asia_and_America._In_._London:_Cadell_and_Davies._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/004.",1,"needle","bone","Clothing",-5.900000095,-161.633283,55.59836219
"10","Aleut","Marsh,_Gordon_H._n.d._//._Human_Anatomical_Terms_among_the_Aleutian_Islanders._In_._S.L._:_s.n._._https://ehrafworldcultures.yale.edu/cultures/na06/documents/053.",1,"needle","unknown","Medical",-5.900000095,-161.633283,55.59836219
"11","Aleut","Cook,_James._1785._A_Voyage_to_the_Pacific_Ocean:_Undertaken,_by_the_Command_of_His_Majesty,_for_Making_Discoveries_in_the_Northern_Hemisphere._Performed_under_the_Direction_of_Captains_Cook,_Clerke,_and_Gore,_in_His_Majestys_Ships_the_Resolution_and_Discovery;_in_the_Years_1776,_1777,_1778,_1779,_and_1780_…._In_._London:_G._Nicol_and_T._Cadell._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/008.",1,"needle","bone","Shoes",-5.900000095,-161.633283,55.59836219
"12","Aleut","Jochelson,_Waldemar._1925._Archaeological_Investigations_in_the_Aleutian_Islands._In_Publication,_ix,_145._Washington:_Carnegie_Institution_of_Washington._https://ehrafworldcultures.yale.edu/cultures/na06/documents/010.",1,"awl","bone","Toolkit",-5.900000095,-161.633283,55.59836219
"13","Aleut","Sarychev,_Gavriil_Andreevich._1806._Account_of_a_Voyage_of_Discovery_to_the_North_East_of_Siberia,_the_Frozen_Ocean,_and_the_North_East_Sea:_Volume_II._In_._London:_Printed_for_R._Phillips_by_J._G._Barnard._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/cultures/na06/documents/007.",1,"needle","bone","Clothing",-5.900000095,-161.633283,55.59836219
"14","Aleut","Laughlin,_William_S._1980._Aleuts,_Survivors_of_the_Bering_Land_Bridge._InCase_Studies_in_Cultural_Anthropology,_vii,_151._New_York:_Holt,_Rinehart,_and_Winston._https://ehrafworldcultures_yale_edu.libproxy.uwyo.edu/document?id=na06_071.",1,"needle","metal","Toolkit",-5.900000095,-161.633283,55.59836219
